heifer_101	heifer_103	heifer_107	heifer_108	heifer_111	heifer_113	heifer_114	heifer_115	heifer_116	heifer_117	heifer_119	heifer_120	heifer_121	heifer_92.	heifer_93.	heifer_94.	heifer_97.	heifer_99.
ENSBTAG00000031010	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSBTAG00000019577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000002966	0	1	3	0	0	0	0	2	0	3	0	0	3	0	2	0	1	0
ENSBTAG00000011634	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ENSBTAG00000054801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000010448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000030942	0	1	0	0	0	1	1	0	0	0	0	0	0	0	6	0	3	0
ENSBTAG00000018749	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ENSBTAG00000009258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000007462	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSBTAG00000011626	0	4	2	0	0	0	0	0	0	0	0	1	2	1	4	1	0	6
ENSBTAG00000050167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000013600	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
ENSBTAG00000013602	0	3	2	0	4	0	1	2	0	0	0	0	0	2	1	1	1	0
ENSBTAG00000050138	0	1	0	0	0	0	0	0	0	6	0	0	1	0	0	0	2	1
ENSBTAG00000018768	0	1	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSBTAG00000023106	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000013629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000030993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000043046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000007068	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000048819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000023407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000002029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSBTAG00000051421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000004754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000042467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000043030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000048701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000000394	0	0	0	0	2	0	0	0	2	0	0	0	10	0	0	0	0	0
ENSBTAG00000030921	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
ENSBTAG00000008471	2	2	1	3	0	0	1	0	0	2	0	0	1	0	3	0	2	0
ENSBTAG00000030913	1	0	1	1	1	1	0	0	5	6	5	4	3	1	8	0	1	1
ENSBTAG00000009132	3	9	4	2	7	0	0	0	0	0	1	4	0	5	6	0	1	9
ENSBTAG00000050235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000046015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000021251	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSBTAG00000021253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSBTAG00000021259	0	0	0	0	0	0	0	0	0	2	0	0	10	0	3	0	2	0
ENSBTAG00000030836	0	0	0	0	1	2	0	0	0	0	0	0	0	3	2	0	0	0
ENSBTAG00000021270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000021272	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000021276	0	4	0	2	0	0	0	0	0	0	3	0	0	2	7	0	5	0
ENSBTAG00000030814	0	0	8	0	0	0	0	0	7	5	0	0	0	1	3	3	4	0
ENSBTAG00000048276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000021280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000023398	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	4	7
ENSBTAG00000021284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000021286	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
ENSBTAG00000021899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000021490	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
ENSBTAG00000021491	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000014153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000000160	0	0	6	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000011645	2	4	0	0	1	0	0	0	0	0	1	0	1	2	12	1	0	6
ENSBTAG00000003134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSBTAG00000011437	3	1	4	0	0	0	6	2	0	3	1	0	0	3	32	2	2	0
ENSBTAG00000052654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000017407	6	0	0	1	9	3	0	3	0	0	0	0	0	3	0	5	0	2
ENSBTAG00000017418	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ENSBTAG00000018186	4	7	6	3	4	4	2	9	3	1	1	0	4	2	6	5	4	5
ENSBTAG00000018189	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSBTAG00000000524	0	0	0	0	3	1	0	0	0	0	0	0	0	3	0	0	0	0
ENSBTAG00000003981	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000020456	4	1	0	0	0	1	0	1	0	0	1	0	5	2	1	1	0	11
ENSBTAG00000007100	0	0	3	0	0	4	0	1	0	2	0	1	0	6	1	2	0	3
ENSBTAG00000007105	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
ENSBTAG00000007106	0	2	1	0	0	1	0	0	0	0	0	0	0	3	2	0	0	2
ENSBTAG00000014880	6	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0
ENSBTAG00000014882	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000023393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000010658	2	0	5	0	0	0	0	1	0	1	0	0	0	2	5	0	1	0
ENSBTAG00000019589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000021901	2	0	0	0	7	1	0	1	0	0	0	0	0	0	2	1	0	0
ENSBTAG00000046909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000017882	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0
ENSBTAG00000018607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000037662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000040291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000018610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000030862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000050038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000048090	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0
ENSBTAG00000017321	2	1	2	0	0	0	1	1	0	0	2	0	0	2	0	0	0	0
ENSBTAG00000021771	4	1	3	3	0	0	1	0	0	0	0	0	0	2	9	0	2	0
ENSBTAG00000017060	4	8	7	4	0	2	2	3	0	14	9	1	3	9	18	8	3	2
ENSBTAG00000017010	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5
ENSBTAG00000053509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000017486	3	1	1	3	4	1	2	0	1	3	1	0	3	3	2	1	0	0
ENSBTAG00000007818	0	0	9	0	4	0	0	0	0	2	0	0	0	2	2	4	0	5
ENSBTAG00000050478	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0
ENSBTAG00000023907	5	2	0	0	1	1	4	1	6	17	32	1	0	0	1	4	0	0
ENSBTAG00000024162	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000030775	0	0	0	0	0	0	3	1	0	0	0	0	3	7	1	1	1	0
ENSBTAG00000030764	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0
ENSBTAG00000048318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000011802	4	7	19	6	5	5	7	3	7	8	7	8	14	0	9	3	6	4
ENSBTAG00000019269	2	1	9	1	1	0	3	2	7	9	9	0	3	1	6	3	5	9
ENSBTAG00000020404	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000020409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000018936	0	0	0	0	0	0	4	0	0	0	3	0	0	0	1	0	0	0
ENSBTAG00000003148	0	0	1	4	0	2	0	2	0	2	3	0	0	7	9	1	2	4
ENSBTAG00000003161	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000021984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000030670	1	3	0	0	2	0	0	2	0	1	0	0	0	6	11	0	2	0
ENSBTAG00000011495	0	1	0	0	0	0	0	0	3	1	7	0	0	0	0	0	0	0
ENSBTAG00000004777	0	0	0	0	0	0	2	1	4	0	0	0	4	0	0	0	0	0
ENSBTAG00000044930	8	2	1	1	1	0	5	2	0	0	6	0	0	4	0	0	6	0
ENSBTAG00000005503	0	3	0	0	1	0	0	0	0	0	0	0	3	0	7	0	1	0
ENSBTAG00000052513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000007039	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ENSBTAG00000043957	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ENSBTAG00000054155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000046447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000004742	1	0	0	3	0	0	4	0	1	3	0	0	3	2	0	5	0	7
ENSBTAG00000044270	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
ENSBTAG00000030105	0	6	0	2	6	0	5	0	0	9	16	0	0	13	11	1	5	0
ENSBTAG00000018682	1	1	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0
ENSBTAG00000023384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000030629	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000018688	2	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSBTAG00000053201	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000014306	0	3	0	1	0	0	2	0	0	0	0	0	0	4	1	1	0	0
ENSBTAG00000011876	3	0	1	0	0	0	0	5	0	0	0	0	1	1	2	6	0	0
ENSBTAG00000011880	4	0	1	0	0	0	0	0	0	3	0	2	0	2	4	0	1	0
ENSBTAG00000030585	0	0	0	0	0	0	0	0	0	0	7	0	0	0	6	0	0	0
ENSBTAG00000037096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSBTAG00000053305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000021447	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSBTAG00000033679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ENSBTAG00000051916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000043298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000055107	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0
ENSBTAG00000008167	2	2	0	0	0	0	1	1	2	0	0	0	4	0	16	0	2	0
ENSBTAG00000004791	0	0	0	0	1	0	4	0	0	0	0	0	0	1	0	0	0	0
ENSBTAG00000001771	0	2	4	2	0	0	1	1	2	0	2	6	0	6	19	1	1	4
ENSBTAG00000037616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000042581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000000973	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSBTAG00000011001	0	0	0	2	1	0	0	0	0	0	4	0	9	3	5	3	1	2
ENSBTAG00000043221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000009214	0	0	0	0	0	0	0	3	0	3	8	0	0	0	5	1	0	0
ENSBTAG00000052589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000020787	3	1	0	4	1	3	0	0	0	6	0	0	4	4	2	1	0	0
ENSBTAG00000012837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000006479	7	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
ENSBTAG00000023377	0	0	3	0	0	0	0	3	0	1	0	0	0	3	3	5	1	2
ENSBTAG00000030592	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
ENSBTAG00000023375	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0
ENSBTAG00000019202	1	1	3	0	0	0	0	1	0	2	0	0	0	0	2	3	1	1
ENSBTAG00000051541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000040193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000003718	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000019129	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSBTAG00000024815	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
ENSBTAG00000048450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000008240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000003916	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000004891	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSBTAG00000030593	0	0	0	0	0	0	3	0	6	0	0	0	1	1	0	2	0	1
ENSBTAG00000051752	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000000502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000009942	3	0	4	3	0	1	2	5	0	7	9	2	0	11	13	3	3	0
ENSBTAG00000054477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000030581	0	0	0	0	0	0	0	1	0	3	1	0	0	2	0	1	0	2
ENSBTAG00000021158	20	6	5	1	0	4	11	6	9	31	23	0	8	28	49	7	4	21
ENSBTAG00000012798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052043	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000047978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000013806	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ENSBTAG00000046385	0	2	0	0	0	0	1	0	0	0	0	0	0	2	6	1	4	0
ENSBTAG00000004061	2	0	0	0	0	0	0	3	0	0	4	0	2	0	5	0	0	0
ENSBTAG00000000746	2	1	3	0	0	0	2	4	0	3	1	0	2	0	0	3	0	0
ENSBTAG00000000752	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
ENSBTAG00000047076	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSBTAG00000049158	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSBTAG00000055206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000004538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000040393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000048736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000047651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000012023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000037965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000050787	0	0	0	0	0	0	0	0	0	1	1	0	2	0	4	0	0	7
ENSBTAG00000012867	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	1	4	0
ENSBTAG00000002896	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0
ENSBTAG00000043742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049543	0	0	1	0	0	0	1	0	0	6	3	0	0	1	8	1	1	1
ENSBTAG00000016954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSBTAG00000012497	2	0	0	0	0	0	0	2	0	1	0	0	0	4	3	1	0	2
ENSBTAG00000049541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000005219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000050901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000040386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000000185	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSBTAG00000049868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000000501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000046978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000018697	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	0	0	0
ENSBTAG00000006439	4	0	2	0	1	0	0	0	0	1	3	5	0	6	13	0	0	1
ENSBTAG00000048038	113	183	210	43	63	30	47	126	24	102	60	8	27	272	567	73	197	110
ENSBTAG00000053537	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0
ENSBTAG00000051458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000019338	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	0	2	3
ENSBTAG00000043696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000035018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000002615	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0
ENSBTAG00000051093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000019552	2	1	12	0	0	0	0	9	0	4	3	0	7	4	7	2	8	0
ENSBTAG00000019553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000047757	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSBTAG00000001007	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSBTAG00000046037	0	0	2	0	5	0	0	0	0	0	0	5	0	3	0	0	0	0
ENSBTAG00000047169	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSBTAG00000045779	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000004291	5	0	3	1	0	0	0	0	0	2	1	0	0	5	9	2	1	6
ENSBTAG00000042450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000046012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049833	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0
ENSBTAG00000051595	59	50	58	20	48	13	18	35	2	161	74	0	0	123	242	26	88	26
ENSBTAG00000043128	7	10	1	0	0	0	1	20	1	14	2	0	0	15	6	3	67	1
ENSBTAG00000053038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000035615	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000047098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000006034	0	0	1	0	0	0	1	0	0	2	1	0	0	3	4	0	0	0
ENSBTAG00000006033	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
ENSBTAG00000010881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000010884	0	0	3	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0
ENSBTAG00000051760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000006252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000017184	0	0	0	0	0	2	0	2	0	0	0	0	0	0	3	1	0	0
ENSBTAG00000017187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000008920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000007399	3	0	0	2	0	0	0	0	0	0	0	0	1	4	0	2	0	0
ENSBTAG00000018569	0	0	0	0	0	2	0	0	0	0	0	0	0	6	1	0	0	0
ENSBTAG00000052761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000034992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000021410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000038497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000050820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000011833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000008388	0	0	1	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0
ENSBTAG00000051114	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSBTAG00000040350	0	1	0	0	0	1	0	1	0	0	0	0	0	3	0	0	2	0
ENSBTAG00000043402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000009121	1	0	0	0	1	0	1	0	0	0	0	0	0	11	11	2	1	0
ENSBTAG00000052925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
