heifer_101	heifer_103	heifer_107	heifer_108	heifer_111	heifer_113	heifer_114	heifer_115	heifer_116	heifer_117	heifer_119	heifer_120	heifer_121	heifer_92.	heifer_93.	heifer_94.	heifer_97.	heifer_99.
ENSBTAG00000052340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000044154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000039602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000050522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000037933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000055221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052202	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSBTAG00000046384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000039820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000039255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000034854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000042595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000004139	4	4	4	1	4	5	5	16	3	17	9	0	3	3	12	2	0	8
ENSBTAG00000007444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000014233	0	0	0	0	0	0	0	0	0	1	7	1	0	1	0	0	0	0
ENSBTAG00000020122	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000020121	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000000201	0	0	0	0	0	1	0	3	0	0	0	0	0	0	2	0	0	0
ENSBTAG00000038433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000001412	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSBTAG00000045479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052349	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0
ENSBTAG00000052332	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ENSBTAG00000000648	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0
ENSBTAG00000000706	0	1	2	0	0	2	0	6	3	0	0	0	1	4	5	1	0	2
ENSBTAG00000045024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000050914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000050144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000017753	0	4	9	0	3	1	3	7	0	13	2	1	11	2	6	3	4	7
ENSBTAG00000042557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000019043	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	2	0
ENSBTAG00000000605	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
ENSBTAG00000000603	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
ENSBTAG00000019542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000036404	298	220	392	122	165	51	113	169	58	305	221	66	59	576	1321	105	163	292
ENSBTAG00000042261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000043064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000038900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000003301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000036841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000047337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000044598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000043929	0	0	0	0	0	0	2	0	0	7	0	1	1	1	1	0	0	0
ENSBTAG00000000597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000000588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000001395	5	0	3	0	7	0	0	4	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000055283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
